pitch;roll;lado;movimento;sessao
0.308074;0.028723001;E;Flexao;1476074842
0.408273;0.009567976;D;Flexao;1476074842
0.33207202;0.011612058;E;Flexao;1476074842
0.399093;-0.005537033;D;Flexao;1476074842
0.319693;0.027472973;E;Flexao;1476074842
0.39874;-0.013174057;D;Flexao;1476074842
0.330744;0.008944035;E;Flexao;1476074842
0.403252;-0.0009870529;D;Flexao;1476074842
0.319579;0.009294987;E;Flexao;1476074842
0.40088;0.0041229725;D;Flexao;1476074842
0.335343;-0.0034059286;E;Flexao;1476074842
0.422831;-0.005370021;D;Flexao;1476074842
-0.077765;0.58648;E;Eversao;1476074842
-0.105000004;-0.599165;D;Eversao;1476074842
-0.07812101;0.625512;E;Eversao;1476074842
-0.10637601;-0.60544103;D;Eversao;1476074842
-0.08037999;0.58700603;E;Eversao;1476074842
-0.094253;-0.559063;D;Eversao;1476074842
-0.078253;0.55061203;E;Eversao;1476074842
-0.11145;-0.588691;D;Eversao;1476074842
-0.075977;0.60587;E;Eversao;1476074842
-0.09284;-0.540796;D;Eversao;1476074842
-0.07580599;0.57695204;E;Eversao;1476074842
-0.100163;-0.566081;D;Eversao;1476074842
-0.080559;0.60407305;E;Eversao;1476074842
-0.09541601;-0.570122;D;Eversao;1476074842
-0.07924999;0.58234304;E;Eversao;1476074842
-0.100719005;-0.55983204;D;Eversao;1476074842
-0.073396996;0.54648;E;Eversao;1476074842
-0.09647401;-0.570801;D;Eversao;1476074842
-0.07540201;0.571124;E;Eversao;1476074842
-0.09737301;-0.567505;D;Eversao;1476074842
-0.023571998;-0.73071504;E;Inversao;1476074842
-0.04742;0.88255095;D;Inversao;1476074842
-0.013161004;-0.68655396;E;Inversao;1476074842
-0.076001;0.7689631;D;Inversao;1476074842
-0.004986003;-0.74038196;E;Inversao;1476074842
-0.016607996;0.7325399;D;Inversao;1476074842
0.0007340014;-0.74310195;E;Inversao;1476074842
-0.060591;0.80732703;D;Inversao;1476074842
-0.00023899972;-0.76052797;E;Inversao;1476074842
-0.07218;0.7518251;D;Inversao;1476074842
0.0009860024;-0.76511;E;Inversao;1476074842
-0.078428;0.762449;D;Inversao;1476074842
0.0005889982;-0.758327;E;Inversao;1476074842
-0.070678994;0.7620089;D;Inversao;1476074842
-0.0022919923;-0.74610794;E;Inversao;1476074842
-0.072422996;0.7635591;D;Inversao;1476074842
-0.004547;-0.75208795;E;Inversao;1476074842
-0.083247006;0.79101896;D;Inversao;1476074842
-0.0057259947;-0.761263;E;Inversao;1476074842
-0.073268;0.781646;D;Inversao;1476074842
-0.0003940016;-0.24061406;D;Repouso;1477026882
0.007968001;0.0063489676;D;Repouso;1477026882
-0.0013629943;0.0007749796;D;Repouso;1477026882
0.00082900375;-0.0070130825;D;Repouso;1477026882
-0.007892996;-0.005394101;D;Repouso;1477026882
-0.0012709945;-0.012351036;D;Repouso;1477026882
-0.0025249943;-0.013492107;D;Repouso;1477026882
0.009989999;0.0009379387;D;Repouso;1477026882
0.0034269989;0.010486007;E;Repouso;1477026882
0.006779;-0.005902052;D;Repouso;1477026882
0.00282;-0.006899953;E;Repouso;1477026882
